job_id,job_title,company_type,industry,country,city,remote_type,experience_level,min_experience_years,salary_min_usd,salary_max_usd,employment_type,posted_year,company_size
0IFD0TVBDIVU,MLOps Engineer,Research Lab,Education,Australia,Remote,Remote,Entry,0,63600,98500,Full-time,2023,Large
ZMF8MDD4V30T,Data Analyst,Startup,Education,Germany,Remote,Remote,Entry,0,33800,48700,Full-time,2024,Medium
CX1945NQ4FMY,MLOps Engineer,Research Lab,Tech,Canada,Remote,Remote,Senior,5,115600,151900,Full-time,2021,Large
QJ7YHL1C32OC,Applied Scientist,Research Lab,Healthcare,Australia,Remote,Remote,Entry,0,67700,103000,Full-time,2023,Medium
F0T0PVN9ER14,Machine Learning Engineer,Research Lab,Finance,Australia,Sydney,Hybrid,Mid,2,94800,139500,Full-time,2023,Large
9T84AZYTJXEP,Data Analyst,Startup,Healthcare,USA,Seattle,Hybrid,Senior,5,70800,110000,Full-time,2021,Large
SHNF877VREN9,AI Researcher,Startup,Tech,USA,Austin,Onsite,Senior,5,238100,316400,Full-time,2020,Small
1ERTJ5PHT0HL,MLOps Engineer,Research Lab,Healthcare,Australia,Sydney,Hybrid,Senior,5,121400,160400,Full-time,2023,Small
MVIHCWI64CIY,Machine Learning Engineer,Research Lab,Finance,India,Remote,Remote,Entry,0,15900,22500,Full-time,2024,Medium
DXMO5BXXC02D,Machine Learning Engineer,Startup,Education,India,Chennai,Hybrid,Entry,0,16800,22700,Full-time,2023,Small
P5TB94874FRH,Data Analyst,Startup,Finance,Germany,Munich,Hybrid,Entry,0,34900,45700,Full-time,2023,Medium
89UZFK8UT0CV,Applied Scientist,Research Lab,Finance,UK,Manchester,Hybrid,Senior,5,107800,147900,Full-time,2020,Small
5O7UUBCXULJY,AI Researcher,Startup,Healthcare,USA,New York,Onsite,Senior,5,206600,308900,Full-time,2025,Large
AWUDTSEMCIKP,Applied Scientist,Research Lab,Healthcare,Germany,Hamburg,Hybrid,Entry,0,68800,97300,Full-time,2024,Small
D5J60FKHMY4S,AI Researcher,Startup,Tech,Australia,Melbourne,Onsite,Senior,5,166900,214400,Full-time,2026,Medium
1WJ0TPAC56T4,Applied Scientist,Research Lab,Finance,USA,Remote,Remote,Mid,2,154300,203300,Full-time,2020,Medium
HID25OWF7593,Data Analyst,Startup,Finance,Germany,Remote,Remote,Mid,2,38000,58800,Full-time,2026,Medium
FZNBQH7M35IX,Data Analyst,MNC,Healthcare,Australia,Sydney,Onsite,Mid,2,49100,73700,Full-time,2026,Medium
9T7E8G8JDP0L,Applied Scientist,Research Lab,Tech,Germany,Frankfurt,Onsite,Senior,5,130800,169800,Full-time,2021,Medium
S3Y70HP87WXE,AI Researcher,Research Lab,Healthcare,USA,Seattle,Onsite,Entry,0,121400,169000,Full-time,2022,Medium
GXN0GUO4KH2V,AI Researcher,MNC,Retail,Australia,Brisbane,Hybrid,Entry,0,77400,109000,Full-time,2021,Large
DSWM31YIHAIR,Data Scientist,MNC,Retail,UK,London,Onsite,Senior,5,66400,101900,Full-time,2024,Small
OFY6452H2ZQU,Data Scientist,MNC,Finance,Australia,Melbourne,Onsite,Mid,2,69700,101600,Full-time,2025,Large
WZS3T60RJIW1,Applied Scientist,MNC,Finance,Canada,Vancouver,Onsite,Mid,2,100400,142100,Full-time,2020,Large
M6CFNFHOLQC3,Data Analyst,Research Lab,Tech,Germany,Remote,Remote,Mid,2,46100,60900,Full-time,2023,Medium
48P0TVHHPBMY,Data Analyst,Research Lab,Finance,USA,Austin,Hybrid,Mid,2,68500,102200,Full-time,2021,Large
VXDP5GJLQM5K,Data Analyst,MNC,Tech,Canada,Remote,Remote,Mid,2,48300,73900,Full-time,2025,Large
C8BBI4WIRE8Q,AI Researcher,MNC,Finance,USA,San Francisco,Hybrid,Senior,5,208800,321300,Full-time,2025,Large
DALY8OZCYWD1,MLOps Engineer,Research Lab,Tech,USA,Remote,Remote,Mid,2,118400,156900,Full-time,2026,Small
NSM43D8W3ZP0,MLOps Engineer,MNC,Education,Germany,Frankfurt,Onsite,Senior,5,99500,135400,Full-time,2026,Medium
J43D5IQVNB4G,Machine Learning Engineer,MNC,Healthcare,UK,Birmingham,Hybrid,Senior,5,89500,120300,Full-time,2024,Large
8DZR1YXR2DHY,AI Researcher,Research Lab,Education,Germany,Berlin,Onsite,Senior,5,159100,217800,Full-time,2024,Large
ZJJEGET1GHR0,Applied Scientist,Research Lab,Healthcare,Germany,Hamburg,Hybrid,Mid,2,94000,133600,Full-time,2022,Small
ATJ9TZE5R5UQ,Data Analyst,MNC,Finance,Germany,Remote,Remote,Mid,2,39400,59100,Full-time,2026,Medium
RUYF38DIUOVW,Applied Scientist,MNC,Retail,USA,Remote,Remote,Mid,2,125100,195100,Full-time,2022,Large
C8D1WJCITFOY,Data Analyst,MNC,Tech,UK,Birmingham,Hybrid,Senior,5,47300,62700,Full-time,2025,Medium
IJ2V2HEIFJFC,AI Researcher,Research Lab,Education,Australia,Sydney,Hybrid,Senior,5,134700,202700,Full-time,2020,Medium
7SRCBPLJD84U,Data Scientist,Research Lab,Healthcare,Australia,Brisbane,Hybrid,Mid,2,75600,111800,Full-time,2026,Small
6GVWRDMLY4LY,AI Researcher,Research Lab,Retail,UK,Birmingham,Onsite,Mid,2,101400,131000,Full-time,2024,Small
JE153A5QBSWR,Data Analyst,Startup,Finance,UK,Remote,Remote,Mid,2,34400,44800,Full-time,2021,Medium
BW2ZLAOI4E8X,Machine Learning Engineer,MNC,Healthcare,UK,Manchester,Onsite,Entry,0,50900,73600,Full-time,2022,Medium
TN7S55J2O7S3,AI Researcher,Research Lab,Healthcare,UK,London,Hybrid,Mid,2,93000,119900,Full-time,2024,Large
TMTTQLGZUI1B,MLOps Engineer,MNC,Retail,UK,Remote,Remote,Mid,2,70900,96500,Full-time,2026,Large
SV55PSQ0OXFQ,AI Researcher,MNC,Education,India,Bangalore,Hybrid,Entry,0,26300,38100,Full-time,2025,Small
W5RTWIYKID91,MLOps Engineer,Startup,Retail,Germany,Frankfurt,Onsite,Mid,2,91500,128300,Full-time,2022,Small
