job_id,skill,skill_category,skill_level
0IFD0TVBDIVU,R,Programming,Advanced
0IFD0TVBDIVU,Computer Vision,ML,Basic
0IFD0TVBDIVU,NLP,ML,Intermediate
0IFD0TVBDIVU,SQL,Programming,Intermediate
ZMF8MDD4V30T,NLP,ML,Advanced
ZMF8MDD4V30T,Python,Programming,Basic
ZMF8MDD4V30T,AWS,Cloud,Advanced
ZMF8MDD4V30T,Azure,Cloud,Intermediate
CX1945NQ4FMY,Computer Vision,ML,Basic
CX1945NQ4FMY,GCP,Cloud,Basic
CX1945NQ4FMY,PyTorch,ML,Advanced
CX1945NQ4FMY,Python,Programming,Advanced
QJ7YHL1C32OC,Scikit-learn,ML,Basic
QJ7YHL1C32OC,SQL,Programming,Basic
QJ7YHL1C32OC,Azure,Cloud,Basic
QJ7YHL1C32OC,NLP,ML,Advanced
QJ7YHL1C32OC,R,Programming,Advanced
F0T0PVN9ER14,Python,Programming,Intermediate
F0T0PVN9ER14,Scikit-learn,ML,Basic
F0T0PVN9ER14,AWS,Cloud,Intermediate
F0T0PVN9ER14,TensorFlow,ML,Advanced
F0T0PVN9ER14,Azure,Cloud,Basic
9T84AZYTJXEP,R,Programming,Intermediate
9T84AZYTJXEP,Scikit-learn,ML,Intermediate
9T84AZYTJXEP,NLP,ML,Basic
SHNF877VREN9,AWS,Cloud,Intermediate
SHNF877VREN9,Azure,Cloud,Basic
SHNF877VREN9,PyTorch,ML,Intermediate
SHNF877VREN9,Computer Vision,ML,Advanced
SHNF877VREN9,NLP,ML,Advanced
SHNF877VREN9,SQL,Programming,Advanced
1ERTJ5PHT0HL,Computer Vision,ML,Basic
1ERTJ5PHT0HL,GCP,Cloud,Intermediate
1ERTJ5PHT0HL,NLP,ML,Basic
MVIHCWI64CIY,NLP,ML,Basic
MVIHCWI64CIY,TensorFlow,ML,Basic
MVIHCWI64CIY,Azure,Cloud,Advanced
MVIHCWI64CIY,Python,Programming,Intermediate
MVIHCWI64CIY,PyTorch,ML,Advanced
MVIHCWI64CIY,Scikit-learn,ML,Basic
DXMO5BXXC02D,Scikit-learn,ML,Intermediate
DXMO5BXXC02D,AWS,Cloud,Advanced
DXMO5BXXC02D,Azure,Cloud,Advanced
DXMO5BXXC02D,NLP,ML,Intermediate
DXMO5BXXC02D,SQL,Programming,Advanced
P5TB94874FRH,TensorFlow,ML,Basic
P5TB94874FRH,GCP,Cloud,Advanced
P5TB94874FRH,Scikit-learn,ML,Intermediate
P5TB94874FRH,Azure,Cloud,Advanced
89UZFK8UT0CV,SQL,Programming,Intermediate
89UZFK8UT0CV,Python,Programming,Advanced
89UZFK8UT0CV,Computer Vision,ML,Advanced
89UZFK8UT0CV,NLP,ML,Basic
89UZFK8UT0CV,AWS,Cloud,Advanced
89UZFK8UT0CV,R,Programming,Basic
5O7UUBCXULJY,Scikit-learn,ML,Intermediate
5O7UUBCXULJY,Python,Programming,Basic
